NAME,RA,DECL,LIT_SPT_NUM,LIT_SPT_NUM,LIT_METAL_NUM,CAT_PMRA,CAT_PMDEC,CAT_PMRA_E,CAT_PMDEC_E,CAT_PMTOT,CAT_PMTOT_E,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,GAIA_G,GAIA_B,GAIA_R,GAIA_Ge,GAIA_Be,GAIA_Re,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_Ge,PANSTARRS_R,PANSTARRS_Re,PANSTARRS_I,PANSTARRS_Ie,PANSTARRS_Z,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye
WISEA J043535.82+211508.9,68.9010512,21.25071209,11.0,11,-2,0.86255,-0.982,0.0067,0.0071,1.30702582319555,0.00692863429717966,14.593,0.052,14.303,0.053,19.121457,21.6087691,17.6187887,0.07946804372,0.5526030861,0.1536112217,14.99444675,0.005500792991,,,,,,,21.42731,0.2410611,18.6022,0.0025,17.1736,0.0093,,
2MASS J14394298-1100430,219.9278081,-11.01321184,11.0,11,-1,-0.25792,-0.22705,0.0093,0.0113,0.343619599120888,0.0102214510692204,14.664,0.018,14.375,0.021,20.4469088,21.36187031,18.9696988,0.133326987,0.8205371234,0.3508302608,15.8841,0.0221,15.365,0.098,14.9324,0.0141,,,,,19.60089,0.009537,18.5143,0.0028,16.9882,0.0183
2MASS J11582077+0435014,179.589078,4.579627935,17.0,17,-1,0.59521,-1.01208,0.0066,0.0078,1.17412983545262,0.00750994640124518,14.668,0.1,14.587,0.126,20.6796001,21.72549296,19.0964581,0.1405644203,0.6894732569,0.3425820917,15.431,0.005,14.881,0.008,14.367,0.01,,,22.225945,0.131816,,,18.539000000000000,0.02,,
2MASS J06453153−6646120,101.3711892,-66.76406809,18.0,18,-1,-0.8747,1.2911,0.0033,0.0046,1.55949969541517,0.00423428154871091,14.678,0.084,14.225,0.078,20.89880484,21.15840981,19.2464769,0.1712355669,0.5620481521,0.3939037752,15.5345,0.0205,,,14.4974,0.0122,,,22.8125,0.07388,,,,,,
SDSS J134749.74+333601.7,206.9574294,33.6002509,10.0,10,-1,0.02801,-0.04902,0.0097,0.0113,0.0564581305039407,0.0109279397290809,14.694,0.016,14.403,0.018,20.3217182,21.5068416,18.742067,0.09952737332,0.6310931173,0.2195419488,15.846,0.009,15.46,0.009,15.267,0.017,25.257,0.428,22.46875,0.109253,19.852800000000000,0.014,17.97808,0.006351,16.8911,0.0078
LSPM J0402+1730,60.68115243,17.50333619,7.0,7,-1,0.27117,-0.0751,0.0114,0.0107,0.28137728923991,0.0113515625941963,14.702,0.017,14.447,0.02,18.7517394,20.62764963,17.4935235,0.05797672068,0.4136587864,0.164288926,15.62390995,0.00924679637,15.081,0.098,15.032,0.151,21.185000000000000,0.039,19.839,0.016,17.9921,0.011,17.2681,0.0111,,
ULAS J075335.23+200622.4,118.3966681,20.10559656,10.0,10,-1,-0.02148,-0.19026,0.0111,0.012,0.191468686734933,0.0119890927893157,14.706,0.017,14.458,0.021,20.2145237,21.41359006,18.7234617,0.1479503249,0.6544969855,0.2630591347,15.874,0.006,15.35,0.09,15.091,0.011,24.973000000000000,0.978,22.44478,0.068302,19.7098,0.0139,17.874636,0.004126,16.8285,0.0092
2MASS J12270506-0447207,186.7686019,-4.788020827,8.5,8.5,-3,-0.52374,0.28341,0.0137,0.0144,0.595503833488921,0.013861644321658,14.706,0.023,14.562,0.03,18.280538,19.9280571,17.053023,0.05723935162,0.4300342561,0.1072725481,15.4264,0.0106,15.203,0.055,15.1936,0.0164,20.874737000000000,0.01499,18.90625,0.007831,17.5117,9E-04,16.796875,0.001911,16.0205,0.0177
WISEA J114553.61-250657.1,176.4728163,-25.11607653,7.0,7,-1,-0.30977,-0.05221,0.0113,0.0135,0.314139040872032,0.0113664895901716,14.71,0.017,14.52,0.022,19.0817719,21.06223248,17.7193616,0.07377247604,0.4967043705,0.1816823239,15.6286,0.0073,15.109,0.089,14.8443,0.0107,21.75,0.04184,20.203125,0.018158,18.3292,0.007,17.4252,0.0056,16.3523,0.0064
SIPS J1512-0112,228.0735927,-1.212847181,7.0,7,-1,-0.20662,-0.7136,0.0083,0.0099,0.742911020513224,0.00978557673381001,14.727,0.067,14.559,0.07,18.3884173,20.2549723,17.053101,0.07035274549,0.471713091,0.15702959,16.806,0.133,16.591,0.232,,,20.984375,0.016861,18.141000000000000,0.007,,,18.29,0.016,,
2MASS J03361338+0010129,54.05885705,0.1692425748,7.5,7.5,-1,0.73023,-0.2133,0.0117,0.0111,0.760744860580734,0.011653950024054,14.738,0.04,14.526,0.044,18.6076443,21.22372565,17.24317,0.07196378783,0.5826958315,0.1592530633,15.23,0.004,14.837,0.005,14.499,0.009,21.326900000000000,0.0325,19.9492,0.0309,17.8333,0.0049,16.828125,0.002979,15.8655,0.0326
2MASS J00412179+3547133,10.34016043,35.78656143,10.5,10.5,-1,-0.10441,-0.07061,0.0105,0.0101,0.126044516739127,0.0103761312654799,14.742,0.016,14.456,0.018,20.72045133,21.65318399,19.0556059,0.121984284,0.7658501635,0.3078438572,16.01168633,0.01198229473,15.728,0.152,15.166,0.121,24.291,0.539,23.071,0.315,20.2119,0.0445,18.7016,0.0146,17.1873,0.0108
